q_id	genome_org	taxo1	taxo2	taxonomy	Hit	Hit_name	LAMPA_exclusive	LAMPA_iterat_type	LAMPA_q_from	LAMPA_q_to	LAMPA_h_from	LAMPA_h_to	LAMPA_TemplateHMM	LAMPA_Prob	LAMPA_E_value	PROT_q_from	PROT_q_to	PROT_h_from	PROT_h_to	PROT_TemplateHMM	PROT_Prob	PROT_E_value	DOM_q_from	DOM_q_to	DOM_h_from	DOM_h_to	DOM_TemplateHMM	DOM_Prob	DOM_E_value	target length	target Neff	query length #1	probability #1	pvalue #1	score #1	SS score #1	query coordinates #1	target coordinates #1	query length #2	probability #2	pvalue #2	score #2	SS score #2	query coordinates #2	target coordinates #2	Probab2
YP_001661446.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, Ligustrum necrotic ringspot virus	PF02338.18	OTU, OTU-like cysteine protease	0	2	810	964	869	963	1-126(126)	95.7	0.039	1	1946	869	963	1-126(126)	79.3	3.4	769	1063	869	963	1-126(126)	94.1	0.15	126	10.6	1946	79.3	0.0002	32.3	7.2	1-1946	1-126	155	95.7	2.3e-06	32.2	7.2	810-964	1-126	2	95.75438599715602
YP_002574614.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, Helleborus net necrosis virus	PF02338.18	OTU, OTU-like cysteine protease	0	2	819	969	872	967	1-125(126)	96.7	0.0035	1	1956	872	967	1-125(126)	89.5	0.44	772	1067	872	967	1-125(126)	95.9	0.016	126	10.6	1956	89.5	2.6e-05	37.7	6.5	1-1956	1-125	151	96.7	2.1e-07	36.8	6.5	819-969	1-125	2	96.9160976843705
YP_002647021.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, Red clover vein mosaic virus	PF02338.18	OTU, OTU-like cysteine protease	0	2	782	937	838	937	1-126(126)	97.2	5.4e-05	1	1932	838	937	1-126(126)	92.8	0.016	738	1037	838	937	1-126(126)	96.5	0.00034	126	10.6	1932	92.8	9.4e-07	46.4	0.9	1-1932	1-126	156	97.2	3.2e-09	45.2	0.9	782-937	1-126	2	97.32240356033024
YP_003075957.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, Kalanchoe latent virus	PF02338.18	OTU, OTU-like cysteine protease	0	2	865	1020	925	1018	2-126(126)	95.4	0.029	1	1999	925	1018	2-126(126)	81.8	1.5	825	1118	924	1018	1-126(126)	93.9	0.098	126	10.6	1999	81.8	8.9e-05	34.6	5.9	1-1999	2-126	156	95.4	1.8e-06	32.8	5.9	865-1020	2-126	2	96.0616295931498
YP_004901680.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, Mirabilis jalapa mottle virus	PF02338.18	OTU, OTU-like cysteine protease	0	2	818	950	854	948	1-126(126)	97	9e-05	1	1929	854	948	1-126(126)	91.1	0.029	754	1048	854	948	1-126(126)	96.1	0.00069	126	10.6	1929	91.1	1.7e-06	44.8	0.6	1-1929	1-126	133	97.0	5.4e-09	43.2	0.6	818-950	1-126	2	97.21609010775275
YP_006522434.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, Potato virus H	PF02338.18	OTU, OTU-like cysteine protease	0	2	355	963	865	962	1-126(126)	96.6	0.0042	1	1949	865	962	1-126(126)	95	0.035	765	1062	865	962	1-126(126)	97.2	0.00098	126	10.6	1949	95.0	2.1e-06	44.4	7.2	1-1949	1-126	609	96.6	2.5e-07	43.8	7.2	355-963	1-126	2	96.70349004705383
YP_006905861.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Foveavirus, Rubus canadensis virus 1	PF02338.18	OTU, OTU-like cysteine protease	0	2	906	1050	950	1049	1-126(126)	96.9	0.00012	1	2038	950	1049	1-126(126)	91.6	0.028	850	1149	950	1049	1-126(126)	96.2	0.00067	126	10.6	2038	91.6	1.7e-06	45.2	0.9	1-2038	1-126	145	96.9	7.2e-09	43.1	0.9	906-1050	1-126	2	97.23303568596765
YP_007761581.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Robigovirus, Cherry rusty mottle associated virus	PF02338.18	OTU, OTU-like cysteine protease	0	2	874	1035	926	997	1-92(126)	96.3	0.002	1	2027	926	997	1-92(126)	87	0.24	826	1097	926	997	1-92(126)	95.4	0.007	126	10.6	2027	87.0	1.4e-05	39.5	3.3	1-2027	1-92	162	96.3	1.2e-07	38.3	3.3	874-1035	1-92	2	96.57501964837327
YP_009046478.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Robigovirus, Cherry twisted leaf associated virus	PF02338.18	OTU, OTU-like cysteine protease	0	2	882	1045	936	1044	1-126(126)	96.1	0.0016	1	2037	936	1044	1-126(126)	85.6	0.21	836	1144	936	1044	1-126(126)	94.9	0.0074	126	10.6	2037	85.6	1.3e-05	39.8	2.2	1-2037	1-126	164	96.1	9.6e-08	38.8	2.2	882-1045	1-126	2	96.3799002246968
YP_009094347.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Foveavirus, Asian prunus virus 1	PF02338.18	OTU, OTU-like cysteine protease	0	2	904	1047	946	1046	1-126(126)	97.6	4.7e-05	1	2022	946	1046	1-126(126)	94.2	0.027	846	1146	946	1046	1-126(126)	97.1	0.00036	126	10.6	2022	94.2	1.6e-06	45.2	4.6	1-2022	1-126	144	97.6	2.8e-09	44.9	4.6	904-1047	1-126	2	97.64920256418347
YP_009126731.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, unclassified Carlavirus, Alfalfa latent virus	PF02338.18	OTU, OTU-like cysteine protease	0	2	763	915	817	914	1-126(126)	97.7	1.7e-06	1	1908	817	914	1-126(126)	94.9	0.0018	717	1014	817	914	1-126(126)	97.2	1.8e-05	126	10.6	1908	94.9	1.1e-07	52.0	-0.9	1-1908	1-126	153	97.7	1e-10	51.8	-0.9	763-915	1-126	2	97.72904658564646
YP_009204561.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Foveavirus, unclassified Foveavirus, Asian prunus virus 2	PF02338.18	OTU, OTU-like cysteine protease	0	2	900	1043	942	1042	1-126(126)	97.6	5.6e-05	1	2005	942	1042	1-126(126)	93.8	0.036	842	1142	942	1042	1-126(126)	97.1	0.00045	126	10.6	2005	93.8	2.2e-06	44.4	4.7	1-2005	1-126	144	97.6	3.4e-09	44.6	4.7	900-1043	1-126	2	97.58064944114679
YP_009215374.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Foveavirus, unclassified Foveavirus, Asian prunus virus 3	PF02338.18	OTU, OTU-like cysteine protease	0	2	904	1047	946	1021	1-98(126)	97.7	1.6e-05	1	2022	946	1021	1-98(126)	94.3	0.015	846	1121	946	1021	1-98(126)	97.2	0.00013	126	10.6	2022	94.3	9e-07	46.8	3.2	1-2022	1-98	144	97.7	9.8e-10	47.0	3.2	904-1047	1-98	2	97.66817525748743
YP_009224940.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, unclassified Carlavirus, Elderberry carlavirus C	PF02338.18	OTU, OTU-like cysteine protease	0	2	820	1018	922	1017	2-126(126)	97.2	0.00011	1	2005	922	1017	2-126(126)	92.9	0.03	822	1117	922	1017	2-126(126)	96.8	0.00039	126	10.6	2005	92.9	1.8e-06	44.9	2.8	1-2005	2-126	199	97.2	6.8e-09	45.2	2.8	820-1018	2-126	2	97.16956055455623
YP_009224952.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, unclassified Carlavirus, Elderberry carlavirus E	PF02338.18	OTU, OTU-like cysteine protease	0	2	819	976	880	951	2-97(126)	96.8	0.00063	1	1958	880	951	2-97(126)	89.3	0.15	780	1051	880	951	2-97(126)	96.1	0.0026	126	10.6	1958	89.3	8.9e-06	40.6	3.4	1-1958	2-97	158	96.8	3.8e-08	40.4	3.4	819-976	2-97	2	96.83370498554058
YP_009275350.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, unclassified Carlavirus, Jasmine virus C	PF02338.18	OTU, OTU-like cysteine protease	0	2	827	985	888	984	1-126(126)	97.6	3.1e-06	1	1966	888	984	1-126(126)	94.9	0.002	788	1084	888	984	1-126(126)	97.2	1.9e-05	126	10.6	1966	94.9	1.2e-07	52.0	-0.6	1-1966	1-126	159	97.6	1.8e-10	51.0	-0.6	827-985	1-126	2	97.73093682184798
YP_009288956.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, unclassified Carlavirus, Ligustrum virus A	PF02338.18	OTU, OTU-like cysteine protease	0	2	830	977	880	954	1-99(126)	97	0.00026	1	1968	880	954	1-99(126)	92.4	0.037	780	1054	880	954	1-99(126)	96.1	0.0018	126	10.6	1968	92.4	2.2e-06	44.3	2.6	1-1968	1-99	148	97.0	1.6e-08	41.7	2.6	830-977	1-99	2	97.31676440866231
YP_277428.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, Potato virus S	PF02338.18	OTU, OTU-like cysteine protease	0	3	653	995	897	993	2-126(126)	96	0.00068	1	1973	897	993	2-126(126)	91.3	0.021	797	1093	897	993	2-126(126)	96.3	0.00037	126	10.6	1973	91.3	1.3e-06	45.7	0.0	1-1973	2-126	343	96.0	4.1e-08	44.7	0.0	653-995	2-126	3	95.2203584502407
YP_595727.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, Daphne virus S	PF02338.18	OTU, OTU-like cysteine protease	0	2	830	1012	914	985	1-96(126)	97	9.3e-05	1	2004	914	985	1-96(126)	91.9	0.024	814	1085	914	985	1-96(126)	96.5	0.00037	126	10.6	2004	91.9	1.4e-06	45.5	0.9	1-2004	1-96	183	97.0	5.6e-09	45.1	0.9	830-1012	1-96	2	97.06576967937285
YP_699983.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Quinvirinae, Carlavirus, Narcissus common latent virus	PF02338.18	OTU, OTU-like cysteine protease	0	2	830	984	888	983	2-126(126)	96.4	0.0021	1	1966	888	983	2-126(126)	86.3	0.34	788	1083	888	983	2-126(126)	95.4	0.0093	126	10.6	1966	86.3	2.1e-05	38.4	3.9	1-1966	2-126	155	96.4	1.2e-07	37.9	3.9	830-984	2-126	2	96.52548405598243
YP_009333202.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai anemone virus 1	PF02338.18	OTU, OTU-like cysteine protease	0	3	409	708	551	645	1-126(126)	95.6	0.012	1	2601	551	645	1-126(126)	85.6	0.57	451	745	551	645	1-126(126)	95.5	0.014	126	10.6	2601	85.6	3.4e-05	38.2	5.0	1-2601	1-126	300	95.6	7.3e-07	37.8	5.0	409-708	1-126	3	95.73996368941258
YP_009333286.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei virga-like virus 18	PF02338.18	OTU, OTU-like cysteine protease	0	2	1053	1576	1064	1156	2-126(126)	96	0.0011	1	2424	1064	1156	2-126(126)	93.1	0.016	964	1256	1064	1156	2-126(126)	96.8	0.00018	126	10.6	2424	93.1	9.3e-07	47.6	1.3	1-2424	2-126	524	96.0	6.3e-08	46.1	1.3	1053-1576	2-126	2	96.3752494883903
YP_009336762.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Sanxia atyid shrimp virus 1	PF02338.18	OTU, OTU-like cysteine protease	0	3	420	719	588	651	2-93(126)	95.8	0.00033	1	2629	588	651	2-93(126)	88.4	0.023	488	751	588	651	2-93(126)	95.9	0.00027	126	10.6	2629	88.4	1.3e-06	47.0	-2.2	1-2629	2-93	300	95.8	1.9e-08	45.5	-2.2	420-719	2-93	3	96.19286839166917
YP_009337252.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenling hepe-like virus 3	PF02338.18	OTU, OTU-like cysteine protease	0	3	803	1102	935	1010	1-126(126)	96.8	0.00011	1	2218	935	1010	1-126(126)	93	0.01	835	1110	935	1010	1-126(126)	96.9	9.7e-05	126	10.6	2218	93.0	6e-07	48.3	0.0	1-2218	1-126	300	96.8	6.7e-09	47.8	0.0	803-1102	1-126	4	95.92596356512824
YP_009337439.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei virga-like virus 23	PF02338.18	OTU, OTU-like cysteine protease	0	3	562	861	637	747	2-126(126)	96.1	0.0048	1	2702	637	747	2-126(126)	89	0.26	537	847	637	747	2-126(126)	96.1	0.0047	126	10.6	2702	89.0	1.5e-05	40.5	4.8	1-2702	2-126	300	96.1	2.9e-07	39.7	4.8	562-861	2-126	4	96.31252618335868
YP_009337659.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei virga-like virus 21	PF02338.18	OTU, OTU-like cysteine protease	0	2	526	1088	704	796	1-126(126)	96.9	0.00022	1	2444	704	796	1-126(126)	94.8	0.0059	604	896	704	796	1-126(126)	97.1	1e-04	126	10.6	2444	94.8	3.5e-07	50.2	2.0	1-2444	1-126	563	96.9	1.3e-08	50.2	2.0	526-1088	1-126	2	96.87091710302813
YP_009342329.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan heteroptera virus 1	PF02338.18	OTU, OTU-like cysteine protease	0	3	1603	1902	1796	1894	2-126(126)	96.7	0.00039	1	3193	1796	1894	2-126(126)	90	0.067	1696	1994	1796	1894	2-126(126)	96.5	6e-04	126	10.6	3193	90.0	4e-06	44.9	2.0	1-3193	2-126	300	96.7	2.3e-08	45.1	2.0	1603-1902	2-126	3	96.64242947678397
YP_009256193.1	ssRNA positive-strand viruses	Flaviviridae	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Culiseta flavivirus	PF02832.15	Flavi_glycop_C, Flavivirus glycoprotein, immunoglobulin-like domain	0	2	513	641	514	598	1-96(96)	95.5	0.02	1	3396	514	598	1-96(96)	76.6	2	414	698	514	598	1-96(96)	93.7	0.077	96	5.1	3396	76.6	0.00012	40.1	5.8	1-3396	1-96	129	95.5	1.2e-06	37.9	5.8	513-641	1-96	2	96.12222816665752
YP_009305197.1	ssRNA positive-strand viruses	Flaviviridae	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Anopheles flavivirus variant 1	PF02832.15	Flavi_glycop_C, Flavivirus glycoprotein, immunoglobulin-like domain	0	2	509	670	517	592	8-96(96)	96.3	0.0051	1	3341	510	592	1-96(96)	86.1	0.68	417	692	517	592	8-96(96)	95.6	0.014	96	5.1	3341	86.1	4.1e-05	43.3	6.4	1-3341	1-96	162	96.3	3.1e-07	42.2	6.1	509-670	8-96	2	96.62265676332565
YP_009388577.1	ssRNA positive-strand viruses	Flaviviridae	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Karumba virus	PF02832.15	Flavi_glycop_C, Flavivirus glycoprotein, immunoglobulin-like domain	0	2	508	670	512	592	3-96(96)	96.9	0.001	1	3342	512	592	3-96(96)	90.9	0.17	412	692	512	592	3-96(96)	96.3	0.0042	96	5.1	3342	90.9	1e-05	47.5	5.7	1-3342	3-96	163	96.9	6.3e-08	45.8	5.7	508-670	3-96	2	97.13280108602851
YP_009389296.1	ssRNA positive-strand viruses	Flaviviridae	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Mac Peak virus	PF02832.15	Flavi_glycop_C, Flavivirus glycoprotein, immunoglobulin-like domain	0	2	508	670	517	592	8-96(96)	97	5e-04	1	3341	517	592	8-96(96)	92.2	0.075	417	692	517	592	8-96(96)	96.5	0.0017	96	5.1	3341	92.2	4.5e-06	49.9	4.8	1-3341	8-96	163	97.0	3e-08	47.4	4.8	508-670	8-96	2	97.30471444438382
YP_002790879.1	ssRNA positive-strand viruses	Invictavirus	unclassified	Viruses, unassigned viruses, Invictavirus, Solenopsis invicta virus 3	PF03368.13	Dicer_dimer, Dicer dimerisation domain	0	2	2177	2359	2241	2313	3-82(93)	95.5	0.0085	1	2580	2241	2313	3-82(93)	80.4	0.75	2141	2413	2241	2313	3-82(93)	94.6	0.02	93	9.7	2580	80.4	4.5e-05	36.8	3.7	1-2580	3-82	183	95.5	5.1e-07	35.6	3.7	2177-2359	3-82	2	95.91696700284123
YP_002790880.2	ssRNA positive-strand viruses	Invictavirus	unclassified	Viruses, unassigned viruses, Invictavirus, Solenopsis invicta virus 3	PF03368.13	Dicer_dimer, Dicer dimerisation domain	0	2	2177	2359	2241	2313	3-82(93)	95.5	0.0085	1	3390	2241	2313	3-82(93)	77.5	1.1	2141	2413	2241	2313	3-82(93)	94.6	0.02	93	9.7	3390	77.5	6.3e-05	36.9	3.8	1-3390	3-82	183	95.5	5.1e-07	35.6	3.8	2177-2359	3-82	2	95.97866004478095
YP_009337038.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 63	PF03368.13	Dicer_dimer, Dicer dimerisation domain	0	3	1756	2055	1797	1858	1-72(93)	95.9	0.0052	1	2845	1797	1858	1-72(93)	87.5	0.29	1697	1958	1797	1858	1-72(93)	96.2	0.0035	93	9.7	2845	87.5	1.7e-05	39.8	4.2	1-2845	1-72	300	95.9	3.1e-07	39.1	4.2	1756-2055	1-72	3	96.11994255261963
YP_009337100.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 59	PF03368.13	Dicer_dimer, Dicer dimerisation domain	0	2	1912	2904	1970	2039	1-76(93)	96.2	0.0052	1	2904	1970	2039	1-76(93)	94.1	0.046	1870	2139	1970	2039	1-76(93)	97.3	4e-04	93	9.7	2904	94.1	2.7e-06	44.9	6.0	1-2904	1-76	993	96.2	3.1e-07	45.2	6.0	1912-2904	1-76	2	96.13874112595545
YP_009337160.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 62	PF03368.13	Dicer_dimer, Dicer dimerisation domain	0	3	1808	2107	1849	1910	1-72(93)	96	0.0044	1	2904	1849	1910	1-72(93)	87.3	0.3	1749	2010	1849	1910	1-72(93)	96.1	0.0037	93	9.7	2904	87.3	1.8e-05	39.7	4.2	1-2904	1-72	300	96.0	2.6e-07	39.4	4.2	1808-2107	1-72	4	96.09350180174104
YP_009337395.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 60	PF03368.13	Dicer_dimer, Dicer dimerisation domain	0	3	2067	2366	2121	2188	1-78(93)	96.6	0.0015	1	3056	2121	2188	1-78(93)	91.5	0.098	2021	2288	2121	2188	1-78(93)	96.8	0.001	93	9.7	3056	91.5	5.9e-06	43.0	4.4	1-3056	1-78	300	96.6	9.2e-08	41.7	4.4	2067-2366	1-78	3	96.82328311555122
YP_009337405.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei tetragnatha maxillosa virus 5	PF03368.13	Dicer_dimer, Dicer dimerisation domain	0	2	1963	3100	2062	2128	5-79(93)	96.1	0.0032	1	3100	2062	2128	5-79(93)	94	0.029	1962	2228	2062	2128	5-79(93)	97.3	0.00019	93	9.7	3100	94.0	1.7e-06	46.4	4.6	1-3100	5-79	1138	96.1	1.9e-07	47.1	4.6	1963-3100	5-79	2	95.97951077801142
YP_009342431.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan insect virus 31	PF03368.13	Dicer_dimer, Dicer dimerisation domain	0	3	1	300	45	102	22-84(93)	95.2	0.0095	1	1562	45	102	22-84(93)	87.6	0.23	1	202	45	102	22-84(93)	95.7	0.0052	93	9.7	1562	87.6	1.3e-05	38.0	3.4	1-1562	22-84	300	95.2	5.7e-07	37.8	3.4	1-300	22-84	2	95.26426250406904
YP_009345020.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Zhejiang mosquito virus 1	PF03368.13	Dicer_dimer, Dicer dimerisation domain	0	2	2021	2147	2060	2131	5-83(93)	97.2	0.00019	1	3113	2060	2131	5-83(93)	89.5	0.12	1960	2231	2060	2131	5-83(93)	96.3	0.0018	93	9.7	3113	89.5	7.4e-06	42.5	3.2	1-3113	5-83	127	97.2	1.1e-08	41.0	3.2	2021-2147	5-83	2	97.35115865761222
YP_007438864.1	dsRNA viruses	unclassified	unclassified	Viruses, dsRNA viruses, Gentian Kobu-sho-associated virus	PF04766.11	Baculo_p26, Nucleopolyhedrovirus p26 protein	0	3	751	1050	828	894	50-130(247)	95.3	0.011	1	7391	828	894	50-130(247)	77.4	1.1	728	994	828	894	50-130(247)	95.3	0.01	247	4.9	7391	77.4	6.4e-05	50.2	4.9	1-7391	50-130	300	95.3	6.3e-07	50.1	4.9	751-1050	50-130	5	95.32181431158561
YP_009345890.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Megrivirus, unclassified Megrivirus, Goose megrivirus	PF04970.12	LRAT, Lecithin retinol acyltransferase	0	3	1298	1597	1375	1458	1-123(132)	95.5	0.017	1	2972	1375	1458	1-123(132)	86.3	0.58	1275	1558	1375	1458	1-123(132)	95.6	0.015	132	9.0	2972	86.3	3.5e-05	41.3	5.8	1-2972	1-123	300	95.5	1e-06	39.9	5.8	1298-1597	1-123	5	95.92688826904579
YP_009268643.1	ssRNA positive-strand viruses	Nyfulvavirus	unclassified	Viruses, unassigned viruses, Nyfulvavirus, Nylanderia fulva virus 1	PF05272.10	VirE, Virulence-associated protein E	0	2	1	1473	604	743	15-156(201)	95.7	0.017	1	3614	604	743	15-156(201)	93.5	0.1	504	843	604	743	15-156(201)	97.2	0.00091	201	10.7	3614	93.5	6.1e-06	47.4	7.7	1-3614	15-156	1473	95.7	1e-06	48.0	7.7	1-1473	15-156	2	95.52037726704168
YP_009362296.1	ssRNA positive-strand viruses	Picornavirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, unclassified Picornavirales, Picorna-like virus AWando15	PF05272.10	VirE, Virulence-associated protein E	0	3	425	724	529	670	59-176(201)	96	0.00097	1	1695	528	670	58-176(201)	90.4	0.044	429	770	529	670	59-176(201)	95.8	0.0014	201	10.7	1695	90.4	2.6e-06	46.2	1.1	1-1695	58-176	300	96.0	5.8e-08	46.3	1.0	425-724	59-176	3	96.02230070398788
YP_009333600.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 51	PF05272.10	VirE, Virulence-associated protein E	0	2	1	957	519	689	28-184(201)	95.7	0.018	1	1968	519	689	28-184(201)	94.7	0.045	419	789	519	689	28-184(201)	96.9	0.0022	201	10.7	1968	94.7	2.7e-06	46.9	7.5	1-1968	28-184	957	95.7	1.1e-06	45.7	7.5	1-957	28-184	2	96.00724967978235
YP_009336519.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 54	PF05272.10	VirE, Virulence-associated protein E	0	2	217	891	575	694	57-170(201)	96.8	0.00057	1	3470	575	694	57-170(201)	94.2	0.019	475	794	575	694	57-170(201)	97.4	8.8e-05	201	10.7	3470	94.2	1.1e-06	52.2	4.0	1-3470	57-170	675	96.8	3.4e-08	52.5	4.0	217-891	57-170	2	96.7446394122186
YP_009336987.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 75	PF05272.10	VirE, Virulence-associated protein E	0	3	505	804	602	749	26-175(201)	96.3	0.0018	1	1932	602	749	26-175(201)	90.7	0.092	502	849	602	749	26-175(201)	96	0.0028	201	10.7	1932	90.7	5.5e-06	44.8	3.5	1-1932	26-175	300	96.3	1.1e-07	44.8	3.5	505-804	26-175	3	96.26315181904887
YP_009337745.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Sanxia picorna-like virus 10	PF05272.10	VirE, Virulence-associated protein E	0	2	198	837	522	605	34-114(201)	96.1	0.0011	1	3099	522	605	34-114(201)	92.5	0.025	422	705	522	605	34-114(201)	96.9	0.00022	201	10.7	3099	92.5	1.5e-06	50.9	1.9	1-3099	34-114	640	96.1	6.5e-08	50.6	1.9	198-837	34-114	2	96.20517317163244
YP_006905848.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Trivirinae, Divavirus, Diuris virus B	PF05413.10	Peptidase_C34, Putative closterovirus papain-like endopeptidase	0	2	351	851	672	759	4-90(92)	95.4	0.015	1	2225	672	759	4-90(92)	91.9	0.13	572	859	672	759	4-90(92)	96.3	0.0048	92	7.8	2225	91.9	7.6e-06	43.6	5.6	1-2225	4-90	501	95.4	9.1e-07	42.1	5.6	351-851	4-90	2	95.8745915347593
YP_009373228.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Trivirinae, Vitivirus, unclassified Vitivirus, Agave tequilana leaf virus	PF05413.10	Peptidase_C34, Putative closterovirus papain-like endopeptidase	0	2	341	728	604	693	4-91(92)	96.3	0.0021	1	1539	604	693	4-91(92)	93.8	0.031	504	793	604	693	4-91(92)	96.6	0.0014	92	7.8	1539	93.8	1.8e-06	45.8	4.2	1-1539	4-91	388	96.3	1.3e-07	45.4	4.2	341-728	4-91	2	96.40931389463775
