This Pfam domain was detected only during IHH-specific iterations? 0 = No, 1 = Yes	Pfam AC	Pfam ID, description	Protein AC	Protein length	Start hit coordinate on protein, aa	End hit coordinate on protein, aa	P_IHH	P_protein	P_domain	Virus genome	The most senior rank to which virus is classified	The 2nd most senior rank to which virus is classified	Virus taxonomy	target length	target Neff	query length #1	probability #1	pvalue #1	score #1	SS score #1	query coordinates #1	target coordinates #1	query length #2	probability #2	pvalue #2	score #2	SS score #2	query coordinates #2	target coordinates #2	Probab2
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009336733.1	3293	593	732	96.3	87.4	96.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou shrimp virus 8	284	10.7	3293	87.4	3.7e-05	43.9	7.0	1-3293	115-243	300	96.3	4.4e-07	43.9	7.0	451-750	114-244	4	96.27915492736444
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009336820.1	4206	566	704	97.1	92.9	97	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 53	284	10.7	4206	92.9	2.1e-06	54.0	3.7	1-4206	119-246	300	97.1	1.4e-08	52.0	3.7	451-750	118-246	4	97.27595495827048
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009337152.1	2876	1374	1492	95.4	91.8	97.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 34	284	10.7	2876	91.8	1.3e-05	46.4	7.7	1-2876	116-217	1050	95.4	1.3e-06	48.2	7.2	1020-2069	116-218	2	94.9677165641866
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009337174.1	2408	913	994	96.1	92.5	96.9	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 71	284	10.7	2408	92.5	1.9e-06	51.5	2.5	1-2408	117-187	642	96.1	9.1e-08	52.3	2.5	827-1468	117-187	2	95.85357680484023
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009337325.1	2029	836	938	95.5	88.7	95.4	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 77	284	10.7	2029	88.7	1.4e-05	44.6	4.8	1-2029	118-244	300	95.5	6e-07	43.1	4.9	711-1010	117-244	3	95.92593723562946
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009337351.1	2920	351	473	95.1	93.1	97	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 65	284	10.7	2920	93.1	1.2e-06	53.9	2.1	1-2920	113-219	1262	95.1	2.5e-07	53.7	2.1	169-1430	113-219	2	95.23337084124476
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009342325.1	3700	921	1055	95.1	90.9	96.8	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan house centipede virus 3	284	10.7	3700	90.9	2.4e-06	52.9	1.5	1-3700	116-237	1162	95.1	2.2e-07	53.6	1.5	1-1162	116-238	2	94.85452396334829
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009342326.1	3930	1313	1367	96.1	94.3	97.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan house centipede virus 2	284	10.7	3930	94.3	4.2e-07	58.7	1.6	1-3930	88-142	1397	96.1	6e-08	58.3	1.6	583-1979	88-142	2	96.14138285221068
0	PF01107.17	MP, Viral movement protein (MP)	NP_612586.1	1626	793	947	95.5	94.8	96.7	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Blackcurrant reversion virus	198	7.1	1626	94.8	2.1e-06	52.0	7.5	1-1626	8-163	1097	95.5	1.1e-06	52.0	7.5	1-1097	8-163	2	95.47423923987442
0	PF01107.17	MP, Viral movement protein (MP)	NP_620762.1	1882	1081	1162	96.3	92.3	96.3	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Tomato ringspot virus	198	7.1	1882	92.3	7.1e-06	49.0	6.5	1-1882	54-178	300	96.3	1.8e-07	49.4	5.2	901-1200	54-143	3	96.42119102789376
0	PF01107.17	MP, Viral movement protein (MP)	NP_944488.1	1106	346	463	95.7	94.7	96.5	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Raspberry ringspot virus	198	7.1	1106	94.7	2e-06	50.2	7.0	1-1106	55-174	598	95.7	7.7e-07	49.7	7.0	1-598	55-174	2	95.83804584743838
0	PF01107.17	MP, Viral movement protein (MP)	YP_006347590.1	1107	378	494	96.3	94.4	96.4	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Grapevine deformation virus	198	7.1	1107	94.4	6.6e-07	53.5	2.9	1-1107	54-178	336	96.3	7.1e-08	52.6	3.3	257-592	54-178	2	96.44445896471106
0	PF01107.17	MP, Viral movement protein (MP)	YP_009330272.1	1398	613	732	95.1	88.9	94.9	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, unclassified Nepovirus, Soybean latent spherical virus	198	7.1	1398	88.9	6.2e-06	48.0	2.6	1-1398	54-173	291	95.1	3.7e-07	47.5	2.7	601-891	54-173	3	95.24065067804413
0	PF01107.17	MP, Viral movement protein (MP)	YP_009342469.1	1119	287	426	95.1	91.8	95.4	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, unclassified Nepovirus, Petunia chlorotic mottle virus	198	7.1	1119	91.8	4.8e-06	47.7	4.4	1-1119	50-172	300	95.1	9.1e-07	45.4	5.0	151-450	8-147	4	95.65113637681712
0	PF01107.17	MP, Viral movement protein (MP)	YP_654556.1	1733	245	347	95.5	90.8	96.1	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, unassigned Secoviridae, Black raspberry necrosis virus	198	7.1	1733	90.8	1.4e-05	46.5	6.8	1-1733	81-184	430	95.5	9.2e-07	47.3	6.5	79-508	82-184	2	95.33040850077377
0	PF01543.16	HCV_capsid, Hepatitis C virus capsid protein	YP_009322132.1	2901	16	88	97.2	93	96.8	plus_ssRNA	Flaviviridae	Hepacivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Hepacivirus, Hepacivirus L	114	5.3	2901	93.0	5.9e-06	49.5	6.8	1-2901	25-114	88	97.2	3e-08	44.4	5.9	1-88	25-114	2	97.78125783910218
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	NP_658990.1	2322	982	1073	97.4	95	97.2	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Aphthovirus, Foot-and-mouth disease virus - type O	97	7.9	2322	95.0	1.3e-07	55.3	-0.3	1-2322	14-93	220	97.4	5.9e-10	54.2	-0.3	860-1079	14-93	2	97.53747434481708
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_002956072.1	2113	936	999	95.8	90.6	96.1	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, Cosavirus E	97	7.9	2113	90.6	1.8e-05	41.2	6.6	1-2113	32-93	318	95.8	9.4e-07	40.0	6.6	797-1114	32-93	2	96.13254473205868
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_002956074.1	2124	941	1004	96	90.6	96.2	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, Cosavirus A	97	7.9	2124	90.6	2.3e-05	40.6	7.3	1-2124	32-93	323	96.0	8.7e-07	40.2	7.3	796-1118	32-93	2	96.1342648402915
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_002956075.1	2124	948	1011	95.5	88.9	95.7	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, Human cosavirus B	97	7.9	2124	88.9	3.2e-05	39.7	6.8	1-2124	32-93	304	95.5	1.6e-06	38.5	6.8	803-1106	32-93	2	95.86071130781639
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_002956076.1	2126	944	1007	96.8	93.6	96.9	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, Cosavirus D	97	7.9	2126	93.6	3.9e-06	45.5	6.2	1-2126	32-93	323	96.8	1.1e-07	44.9	6.2	801-1123	32-93	2	96.85307536974908
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009021445.1	2816	1489	1561	95.7	89.3	95.7	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Megrivirus, Melegrivirus A	97	7.9	2816	89.3	4.8e-06	46.1	2.0	1-2816	33-72	248	95.7	8.9e-08	43.9	0.9	1468-1715	32-90	4	96.52461617484376
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009021568.1	2864	1593	1665	96.6	94.9	97.6	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Sicinivirus, Sicinivirus A	97	7.9	2864	94.9	8.1e-07	51.3	4.6	1-2864	32-93	798	96.6	1.3e-07	49.6	6.2	1005-1802	32-93	2	96.62825612134179
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009026376.1	2121	939	1002	96.4	92.4	96.6	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, unclassified Cosavirus, Human cosavirus	97	7.9	2121	92.4	7.2e-06	43.8	6.1	1-2121	32-93	323	96.4	2.4e-07	43.2	6.1	796-1118	32-93	2	96.55567264646484
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009026384.1	2550	1340	1400	97.3	94.9	97.4	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Mosavirus, Mosavirus A2	97	7.9	2550	94.9	2.9e-07	53.7	1.8	1-2550	34-93	341	97.3	3.2e-09	53.4	2.0	1172-1512	34-93	2	97.28474332869716
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009030047.1	2839	1509	1559	96.1	89.6	96.3	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Megrivirus, unclassified Megrivirus, Duck megrivirus	97	7.9	2839	89.6	4.7e-06	46.2	2.2	1-2839	33-84	300	96.1	7.6e-08	45.4	1.8	1349-1648	33-84	3	96.34841506687415
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009054898.1	2431	1160	1232	96.4	93.4	97.3	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Chicken picornavirus 1	97	7.9	2431	93.4	1.9e-06	48.1	3.9	1-2431	32-93	586	96.4	1e-07	48.4	4.2	784-1369	32-93	2	96.25843010844987
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009054901.1	2744	1417	1470	96.4	91.4	96.2	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Chicken picornavirus 4	97	7.9	2744	91.4	2.5e-06	47.9	2.1	1-2744	32-72	300	96.4	4.7e-08	46.5	2.1	1172-1471	32-86	4	96.65545464245855
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009104360.1	2170	938	1014	96.2	93.4	96.6	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Crohivirus A	97	7.9	2170	93.4	5.7e-06	44.5	6.8	1-2170	32-90	493	96.2	4.4e-07	44.0	6.8	661-1153	32-90	2	96.32753717713173
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009112712.1	2119	942	1005	95.4	86.6	95.7	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, unclassified Cosavirus, Cosavirus JMY-2014	97	7.9	2119	86.6	2.4e-05	40.4	4.7	1-2119	32-93	308	95.4	7.5e-07	40.3	4.7	797-1104	32-93	2	95.38598242997435
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009116874.1	2223	939	994	95.5	90.1	95.8	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Bovine picornavirus	97	7.9	2223	90.1	6.2e-06	44.4	3.3	1-2223	38-90	300	95.5	3.6e-07	41.9	3.3	827-1126	38-90	3	96.19173179762548
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009121743.1	2251	1039	1093	95.9	90.3	96.2	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Mischivirus, African bat icavirus PREDICT-06105	97	7.9	2251	90.3	1e-05	43.0	4.9	1-2251	32-88	322	95.9	3.8e-07	42.1	4.9	833-1154	32-87	2	96.13871941476273
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009179351.1	2861	1590	1662	95.5	89.1	96.8	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Sicinivirus, unclassified Sicinivirus, Chicken sicinivirus JSY	97	7.9	2861	89.1	9.6e-06	44.3	3.8	1-2861	32-93	576	95.5	4.5e-07	44.7	4.1	1224-1799	32-93	2	95.1987869250015
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009345890.1	2972	1642	1692	96.2	90.5	96.5	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Megrivirus, unclassified Megrivirus, Goose megrivirus	97	7.9	2972	90.5	3.1e-06	47.6	1.8	1-2972	33-85	300	96.2	4.7e-08	46.5	1.3	1394-1693	33-84	3	96.54770066157572
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009361319.1	2281	1051	1119	96.5	93.6	96.9	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Mischivirus, Miniopterus schreibersii picornavirus 1	97	7.9	2281	93.6	2.6e-06	46.9	5.0	1-2281	28-88	430	96.5	1.1e-07	46.5	5.0	837-1266	28-93	2	96.59688031051758
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009361830.1	2128	946	1009	96.5	92.8	96.8	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, Cosavirus F	97	7.9	2128	92.8	2.1e-06	47.2	3.1	1-2128	32-93	329	96.5	5.2e-08	46.8	3.1	797-1125	32-93	2	96.60725337696053
0	PF01552.16	Pico_P2B, Picornavirus 2B protein	YP_009448192.1	2668	1438	1510	96.9	94.5	97.4	plus_ssRNA	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Passerivirus, unclassified Passerivirus, Passerivirus sp.	97	7.9	2668	94.5	9.3e-07	50.6	4.1	1-2668	32-93	509	96.9	2.8e-08	50.8	4.1	1153-1661	32-93	2	96.86772780421379
0	PF01660.16	Vmethyltransf, Viral methyltransferase	NP_612601.1	2117	404	569	95.7	92	96.2	plus_ssRNA	Benyviridae	Benyvirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Benyviridae, Benyvirus, Beet soil-borne mosaic virus	313	8.5	2117	92.0	8.5e-06	50.3	6.9	1-2117	132-249	300	95.7	5.3e-07	47.7	5.7	301-600	132-248	3	96.51754080848757
0	PF01660.16	Vmethyltransf, Viral methyltransferase	YP_009272813.1	1684	4	86	96.4	94	97.1	plus_ssRNA	Tymovirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, unclassified Tymovirales, Bat tymo-like virus	313	8.5	1684	94.0	1.3e-06	55.1	4.3	1-1684	229-312	410	96.4	9.1e-08	54.3	4.3	1-410	229-312	2	96.51271993997821
0	PF01660.16	Vmethyltransf, Viral methyltransferase	YP_009337345.1	2005	54	302	95.4	94.3	96.4	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai tiger crab virus 1	313	8.5	2005	94.3	1e-06	56.8	4.3	1-2005	2-255	1138	95.4	3.8e-07	56.5	4.3	1-1138	2-255	2	95.45279022897036
0	PF01661.20	Macro, Macro domain	YP_009333246.1	2368	1106	1207	96.9	91.4	96.9	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai hepe-like virus 10	113	10.7	2368	91.4	4.9e-06	42.0	3.7	1-2368	4-105	300	96.9	2.8e-08	43.7	3.7	962-1261	3-105	3	96.60949585715521
0	PF01661.20	Macro, Macro domain	YP_009336677.1	2971	1497	1554	95.7	85.9	95.9	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei virga-like virus 16	113	10.7	2971	85.9	6.4e-05	36.1	6.8	1-2971	59-110	300	95.7	1.6e-06	35.3	6.8	1423-1722	51-110	4	95.94354063569084
0	PF01661.20	Macro, Macro domain	YP_009337788.1	3291	1479	1584	96.2	86.7	96.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 68	113	10.7	3291	86.7	9e-06	41.9	1.9	1-3291	2-112	300	96.2	7.1e-08	41.8	1.9	1385-1684	2-112	4	96.1893847393958
0	PF01661.20	Macro, Macro domain	YP_009342326.1	3930	107	213	95.3	87	96.2	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan house centipede virus 2	113	10.7	3930	87.0	6.9e-06	43.4	1.5	1-3930	2-112	533	95.3	1.9e-07	42.7	1.5	1-533	2-112	2	95.56758890749816
0	PF01695.16	IstB_IS21, IstB-like ATP binding protein	YP_009268643.1	3614	866	956	95.9	90.9	96.8	plus_ssRNA	Nyfulvavirus	unclassified	Viruses, unassigned viruses, Nyfulvavirus, Nylanderia fulva virus 1	179	12.2	3614	90.9	1.2e-05	42.0	5.8	1-3614	50-152	698	95.9	4.3e-07	42.6	5.4	775-1472	50-152	3	95.89358620358242
0	PF01695.16	IstB_IS21, IstB-like ATP binding protein	YP_009336787.1	3290	929	1020	95.2	80.3	95.4	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 46	179	12.2	3290	80.3	8.4e-06	42.5	-0.9	1-3290	50-153	300	95.2	7.1e-08	42.0	-0.9	841-1140	49-153	3	95.43489218745547
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	NP_043135.1	3414	2567	2618	97.4	93.4	96.4	plus_ssRNA	Flaviviridae	Flavivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Flavivirus, tick-borne encephalitis virus group, Tick-borne encephalitis virus	183	11.7	3414	93.4	9.1e-07	50.0	1.8	1-3414	22-61	259	97.4	1.5e-09	50.5	1.8	2505-2763	3-61	2	97.39157395627461
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	NP_658908.1	3350	2552	2606	97.7	95	97.4	plus_ssRNA	Flaviviridae	Flavivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Flavivirus, Tamana bat virus	183	11.7	3350	95.0	2.7e-07	53.4	2.0	1-3350	1-62	289	97.7	4.9e-10	53.6	2.0	2481-2769	1-62	2	97.66101188024268
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	YP_009001464.1	3422	2591	2740	97.7	94.9	97.5	plus_ssRNA	Flaviviridae	Flavivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Flavivirus, Seaborne tick-borne virus group, Tyuleniy virus	183	11.7	3422	94.9	4.3e-07	52.2	2.8	1-3422	92-179	262	97.7	5.8e-10	52.6	2.8	2508-2769	22-179	2	97.68817264434551
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	YP_009162613.1	3414	2567	2618	97.2	92.2	96.7	plus_ssRNA	Flaviviridae	Flavivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Flavivirus, Spanish goat encephalitis virus	183	11.7	3414	92.2	1.1e-06	49.5	0.6	1-3414	22-61	259	97.2	2e-09	49.9	0.6	2505-2763	3-61	2	97.19652695020945
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	YP_009328360.1	3409	2644	2730	97.3	93.9	97.2	plus_ssRNA	Flaviviridae	Flavivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Flavivirus, Kokobera virus group, New Mapoon virus	183	11.7	3409	93.9	1.8e-07	54.6	-1.9	1-3409	92-180	260	97.3	5.1e-10	52.8	-1.9	2499-2758	92-180	2	97.48148840521202
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	YP_009175071.1	7333	6201	6417	96.9	94.9	97.8	plus_ssRNA	Flaviviridae	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Macrosiphum euphorbiae virus 1	183	11.7	7333	94.9	1.1e-05	46.5	12.7	1-7333	1-183	1511	96.9	7.3e-07	46.5	12.7	5051-6561	1-183	2	96.87781495310786
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	NP_040822.1	2493	1208	1299	96.4	86	95.6	plus_ssRNA	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, VEEV complex, Venezuelan equine encephalitis virus	183	11.7	2493	86.0	3.2e-05	38.7	5.1	1-2493	93-183	167	96.4	2.1e-07	37.6	5.1	1164-1330	93-183	2	96.66300367234388
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	NP_040823.1	1879	1208	1299	96.4	88.1	95.6	plus_ssRNA	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, VEEV complex, Venezuelan equine encephalitis virus	183	11.7	1879	88.1	2.2e-05	38.5	5.1	1-1879	93-183	167	96.4	2.1e-07	37.6	5.1	1164-1330	93-183	2	96.62345583064881
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	NP_041254.1	2514	1212	1304	96.7	89.3	96.2	plus_ssRNA	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, Onyong-nyong virus	183	11.7	2514	89.3	1e-05	41.9	3.9	1-2514	92-183	183	96.7	6.6e-08	40.5	3.9	1166-1348	92-183	2	96.91360152001492
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	NP_062879.1	2480	1245	1300	95.4	81.1	94.8	plus_ssRNA	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, SFV complex, Ross River virus	183	11.7	2480	81.1	3.4e-05	38.5	3.2	1-2480	91-182	184	95.4	4.5e-07	36.6	3.2	1163-1346	128-182	2	96.02202494768
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	NP_463457.1	2431	1214	1304	96.2	85.4	95.6	plus_ssRNA	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, SFV complex, Semliki Forest virus	183	11.7	2431	85.4	3.9e-05	38.1	5.3	1-2431	92-183	184	96.2	3.4e-07	37.2	5.3	1168-1351	92-182	2	96.45457566911139
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	NP_632020.1	1878	1204	1295	95.9	91.6	96.1	plus_ssRNA	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, EEEV complex, Eastern equine encephalitis virus	183	11.7	1878	91.6	3.1e-05	37.6	8.7	1-1878	92-182	167	95.9	1.8e-06	33.3	7.4	1161-1327	92-182	2	97.08001404914548
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	NP_632021.2	2493	1204	1295	95.9	90.4	96.1	plus_ssRNA	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, EEEV complex, Eastern equine encephalitis virus	183	11.7	2493	90.4	4.4e-05	37.8	8.8	1-2493	92-182	167	95.9	1.8e-06	33.3	7.4	1161-1327	92-182	2	97.12230682387258
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	NP_690588.1	2474	1213	1303	95.2	77.8	94.1	plus_ssRNA	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, SFV complex, Chikungunya virus	183	11.7	2474	77.8	1.5e-05	40.7	-0.1	1-2474	92-182	183	95.2	1.2e-07	39.4	-0.1	1166-1348	93-182	2	95.67979081663542
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	YP_002802299.1	2450	1205	1297	96.5	87.9	95.7	plus_ssRNA	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, WEEV complex, Highlands J virus	183	11.7	2450	87.9	5.7e-05	37.0	7.7	1-2450	92-183	167	96.5	7.3e-07	35.2	7.7	1162-1328	92-183	2	96.8283013778579
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	YP_003324587.1	2457	1205	1295	95.4	79.2	93.9	plus_ssRNA	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, WEEV complex, Fort Morgan virus	183	11.7	2457	79.2	0.00017	34.1	7.0	1-2457	92-181	167	95.4	2.8e-06	32.4	7.0	1162-1328	92-181	2	96.01402764811631
0	PF01728.18	FtsJ, FtsJ-like methyltransferase	YP_005351232.1	1815	1216	1305	96.5	91.5	96	plus_ssRNA	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, Ndumu virus	183	11.7	1815	91.5	7e-06	41.4	4.7	1-1815	105-182	163	96.5	1.4e-07	38.4	4.7	1169-1331	94-182	2	97.07429216527477
